Indicator,Country,2000_value,2000_notes,2000_source,2001_value,2001_notes,2001_source,2002_value,2002_notes,2002_source,2003_value,2003_notes,2003_source,2004_value,2004_notes,2004_source,2005_value,2005_notes,2005_source,2006_value,2006_notes,2006_source,2007_value,2007_notes,2007_source,2008_value,2008_notes,2008_source,2009_value,2009_notes,2009_source,2010_value,2010_notes,2010_source,2011_value,2011_notes,2011_source,2012_value,2012_notes,2012_source,2013_value,2013_notes,2013_source,2014_value,2014_notes,2014_source,2015_value,2015_notes,2015_source,2016_value,2016_notes,2016_source,2017_value,2017_notes,2017_source,2018_value,2018_notes,2018_source,2019_value,2019_notes,2019_source,data_country,data_year
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Georgia,194741,,Georgian National Communications Commission (GNCC).,301327,,Georgian National Communications Commission (GNCC).,503619,,Georgian National Communications Commission (GNCC).,711224,,Georgian National Communications Commission (GNCC).,840645,,Georgian National Communications Commission (GNCC).,1174308,,Georgian National Communications Commission (GNCC).,1703888,,Georgian National Communications Commission (GNCC).,2599714,,Georgian National Communications Commission (GNCC).,2755087,,Georgian National Communications Commission (GNCC).,2837000,,ITU estimate.,3978242,Break in methodology: active subscriptions in the last quarter. Previously active subscriptions in the last month.,Georgian National Communications Commission,4430344,,Georgian National Communications Commission,4698582,,Georgian National Communications Commission,4993119,,Georgian National Communications Commission,5400766,,Georgian National Communications Commission,5550730,,Georgian National Communications Commission,5531875,,GNCC,5502395,,Georgian National Communications Commission,5459239,,Georgian National Communications Commission,5384462,,Georgian National Communications Commission,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Germany,48202000,Includes non-active subscriptions.,Bundesnetzagentur (BNetzA; formerly Regulierungsbehörde für Telekommunikation und Post).,56126000,Includes non-active subscriptions.,Bundesnetzagentur (BNetzA; formerly Regulierungsbehörde für Telekommunikation und Post).,59128000,Includes non-active subscriptions.,Bundesnetzagentur (BNetzA; formerly Regulierungsbehörde für Telekommunikation und Post).,64800000,Includes non-active subscriptions.,Bundesnetzagentur (BNetzA; formerly Regulierungsbehörde für Telekommunikation und Post).,71322000,Includes non-active subscriptions.,Bundesnetzagentur (BNetzA; formerly Regulierungsbehörde für Telekommunikation und Post).,79271000,Includes non-active subscriptions.,Bundesnetzagentur (BNetzA; formerly Regulierungsbehörde für Telekommunikation und Post).,85652000,Incl. data services. Includes non-active subscriptions.,Bundesnetzagentur (BNetzA; formerly Regulierungsbehörde für Telekommunikation und Post).,96232925,Excl. data-only SIM cards. Includes non-active subscriptions.,Bundesnetzagentur (BNetzA; formerly Regulierungsbehörde für Telekommunikation und Post).,105523065,Excl. data-only SIM cards. Includes non-active subscriptions.,Bundesnetzagentur (BNetzA) / Federal Network Agency,105000000,Excl. data-only SIM cards. Includes non-active subscriptions.,Bundesnetzagentur (BNetzA; formerly Regulierungsbehörde für Telekommunikation und Post).,88400000,Break in comparability:includes only active mobile-celluar subscriptions. Excl. data-only SIM cards and M2M cards.,Bundesnetzagentur (BNetzA) / Federal Network Agency,90900000,Excl. data-only SIM cards and M2M cards. Data in line with ITU definition. Data before 2010 not in line with present ITU-Definition (it included non-active cards).,Bundesnetzagentur (BNetzA) / Federal Network Agency,92400000,Excl. data-only SIM cards and M2M cards. Data in line with ITU definition. Data before 2010 not in line with present ITU-Definition (it included non-active cards).,Bundesnetzagentur (BNetzA) / Federal Network Agency,100034000,Excl. data-only SIM cards and M2M cards. Data in line with ITU definition. Data before 2010 not in line with present ITU-Definition (it included non-active cards).,Bundesnetzagentur (BNetzA) / Federal Network Agency,99530000,Excl. data-only SIM cards and M2M cards. Data in line with ITU definition. Data before 2010 not in line with present ITU-Definition (it included non-active cards).,Bundesnetzagentur (BNetzA) / Federal Network Agency,96360000,Excl. data-only SIM cards and M2M cards. Data in line with ITU definition. Data before 2010 not in line with present ITU-Definition (it included non-active cards).,Bundesnetzagentur (BNetzA) / Federal Network Agency,103470000,,Bundesnetzagentur für Elektrizität; Gas; Telekommunikation; Post und Eisenbahnen,109700000,,Bundesnetzagentur für Elektrizität; Gas; Telekommunikation; Post und Eisenbahnen,107500000,,Bundesnetzagentur für Elektrizität; Gas; Telekommunikation; Post und Eisenbahnen,107200000,,Bundesnetzagentur für Elektrizität; Gas; Telekommunikation; Post und Eisenbahnen,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Ghana,130045,,,243797,,,386775,,,795529,,,1695000,,,2874560,,,5207242,,,7604053,,National Communications Authority (NCA).,11570430,,National Communications Authority (NCA).,15108916,,National Communications Authority,17436949,,National Communications Authority,21165843,,National Communications Authority,25618427,,National Communications Authority,28026482,,National Communications Authority,30360771,,National Communications Authority,35008387,,National Communications Authority,38305078,,National Communications Authority (NCA),36751761,,National Communications Authority,40934875,,National Communications Authority,40857077,Total voice subscriptions for MTN; Vodafone; AirtelTigo and Glo,National Communications Authority,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Gibraltar,5558,,Gibtelecom.,9797,,Gibtelecom.,12167,,Gibtelecom.,15900,,Gibtelecom.,18392,,Gibtelecom.,20000,,ITU estimate.,22000,,ITU estimate.,24000,,ITU estimate.,26000,,ITU estimate.,28600,,Gibtelecom.,30000,,ITU estimate.,32500,,Gibraltar Regulatory Authority,34750,,Gibraltar Regulatory Authority,,,,38000,,Gibraltar Regulatory Authority,41441,,Gibraltar Regulatory Authority,41136,New alternative operator providing services this year. Not yet eligible to provide data and this may account for lower number of subscribers.,Gibraltar Regulatory Authority,41035,,Gibraltar Regulatory Authority,41045,,Gibraltar Regulatory Authority,40537,Feb 2019 saw the cessation of operations of one of two mobile operators resulting in significant drop in subscribers.,Gibraltar Regulatory Authority,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Greece,5932403,,Hellenic Telecommunications & Post Commission (EETT).,7963742,,Hellenic Telecommunications & Post Commission (EETT).,9314260,Incl. inactive subscribers.,Hellenic Telecommunications & Post Commission (EETT).,8936202,,Hellenic Telecommunications & Post Commission (EETT).,9324335,,Hellenic Telecommunications & Post Commission (EETT).,10260396,,Hellenic Telecommunications & Post Commission (EETT).,10979826,,Hellenic Telecommunications & Post Commission (EETT).,12294912,,Hellenic Telecommunications & Post Commission (EETT).,13799340,,Hellenic Telecommunications & Post Commission (EETT).,13295093,,Hellenic Telecommunications & Post Commission (EETT).,12292716,,Hellenic Telecommunications & Post Commission,12127985,,Hellenic Telecommunications & Post Commission,13360280,,Hellenic Telecommunications & Post Commission,12518645,,Hellenic Telecommunications & Post Commission,12144598,,Hellenic Telecommunications & Post Commission,12566649,,Hellenic Telecommunications & Post Commission,12538927,,Hellenic Telecommunications & Post Commission,12937106,,Hellenic Telecommunications & Post Commission,12170757,,Hellenic Telecommunications & Post Commission,11882081,,Hellenic Telecommunications & Post Commission,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Greenland,15114,,,15882,,,19924,,,29749,,,39033,,,46480,,,53900,,,66400,,TELE Greenland,55816,,TELE Greenland,53468,,TELE Greenland,57349,,Tele Greenland A/S,58742,,Tele Greenland A/S,59455,,Tele Greenland A/S,60400,,ITU estimate.,60800,,ITU estimate.,61000,,ITU estimate.,,,Tele Greenland A/S,62320,,Tele Greenland A/S,61394,,Tele Greenland A/S,61656,,Tele Greenland A/S,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Grenada,4300,,,6414,,,7553,,,42293,,,43313,,,46858,,,46193,Refers only to C&W.,Cable and Wireless (WI).,51381,Refers only to C&W.,Cable and Wireless (WI).,60022,Refers only to C&W.,Cable and Wireless (WI).,114424,,National Telecommunications Regulatory Commission,121946,,National Telecommunications Regulatory Commission,120855,,National Telecommunications Regulatory Commission,129912,,National Telecommunications Regulatory Commission,133000,,National Telecommunications Regulatory Commission,117151,Providers data -NTRC Grenada,National Telecommunications Regulatory Commission,119767,,ECTEL,118973,,National Telecommunications Regulatory Commission,113177,,National Telecommunications Regulatory Commission,116184,,ECTEL.,,,,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Guadeloupe,169840,Refers to active mobile subscribers.,France Télécom.,292520,Refers to active mobile subscribers.,France Télécom.,299100,Refers to active mobile subscribers.,France Télécom.,289400,Refers to active mobile subscribers.,France Télécom.,314700,Refers to active mobile subscribers.,France Télécom.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Guam,27200,,Guam Telephone Authority.,32600,,Guam Telephone Authority.,70500,,Guam Telephone Authority.,79800,,Guam Telephone Authority.,98000,,Guam Telephone Authority.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Guatemala,856831,,,1146441,,,1577085,,,2034776,,,3168256,,,4510067,,,7178745,,,11897563,,Superintedencia de Telecomunicaciones,14948640,,Superintendencia de Telecomunicaciones (SIT),17307459,,Superintendencia de Telecomunicaciones (SIT),18067970,,Superintendencia de Telecomunicaciones (SIT),19479105,,Superintendencia de Telecomunicaciones (SIT),20787080,,Superintendencia de Telecomunicaciones (SIT),21716357,,Superintendencia de Telecomunicaciones (SIT),16911811,New tax on numbering resources; which has prompted operators to return several numbers; either inactive ones or with low consumption.,Superintendencia de Telecomunicaciones (SIT),18121390,No tax was applied; therefore the number of subscriptions experienced growth.,Superintendencia de Telecomunicaciones (SIT),18264520,No tax was applied; therefore the number of subscriptions experienced growth.,Superintendencia de Telecomunicaciones,19986482,,Superintendencia de Telecomunicaciones,20467520,,Superintendencia de Telecomunicaciones,20874130,,Superintendencia de Telecomunicaciones,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Guernsey,21885,,,31539,,,36580,,,41530,,,43824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Guinea,42112,,Société des Télécommunications de Guinée (SOTELGUI).,55670,,Société des Télécommunications de Guinée (SOTELGUI).,90772,,Société des Télécommunications de Guinée (SOTELGUI).,111500,,Société des Télécommunications de Guinée (SOTELGUI).,154900,,Société des Télécommunications de Guinée (SOTELGUI).,189000,,Société des Télécommunications de Guinée (SOTELGUI).,,,,2000000,,Société des Télécommunications de Guinée (SOTELGUI).,2750000,,ITU estimate.,3489000,,Telegeography.,4000000,,Ministère de la Communication et des Nouvelles Technologies de l'Information,4860590,,ARPT.,5584700,Source: l'ARPT;,ARPT.,7436471,Source: l'ARPT,Ministère de la Communication et des Nouvelles Technologies de l'Information,8683500,,ITU estimate.,10764000,,Ministère de la Communication et des Nouvelles Technologies de l'Information,11110000,,Ministère des Postes ; des Télécommunications et de l'Economie Numérique,11700000,,Ministère des Postes ; des Télécommunications et de l'Economie Numérique,12013000,,Ministère des Postes ; des Télécommunications et de l'Economie Numérique,12873000,,Ministère des Postes ; des Télécommunications et de l'Economie Numérique,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Guinea-Bissau,0,,,0,,,0,,,1275,,,39451,,,98825,,,157330,,,296223,,Instituto das Comunicações da Guiné-Bissau,500156,,Instituto das Comunicações da Guiné-Bissau,560345,,Instituto das Comunicações da Guiné-Bissau,677365,,Autoridade Reguladora Nacional das TIC,732634,,Autoridade Reguladora Nacional das TIC,1049193,,Autoridade Reguladora Nacional das TIC,939909,,Autoridade Reguladora Nacional das TIC,1108297,,Autoridade Reguladora Nacional das TIC,1238493,Les donnes sont relatives aux deux operateurs (Orange et MTN). Le troisième opérateur n'est plus en service (Guinétel),Autoridade Reguladora Nacional das TIC,1285835,Les donnes sont relatives aux deux operateurs (Orange et MTN). La troisième opérateur est inoperationnel depuis,Autorité de Régulation Nationale des TIC,1434822,Les donnes sont relatives aux deux operateurs (Orange et MTN). La troisième opérateur est inoperationnel depuis,Autorité nationale de régulation des TICs(ARN),1480491,Les donnes sont relatives aux deux operateurs (Orange et MTN). La troisième opérateur est inoperationnel depuis,Autorité nationale de régulation des TICs(ARN),1590381,Les donnes sont relatives aux deux operateurs (Orange et MTN). La troisième opérateur est inoperationnel depuis,Autorité nationale de régulation des TICs(ARN),,
